"","Date of Payment","Expense type","Expense Area","Supplier","Transaction Number","Amount","Department and Entity"
"394",2013-08-10,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694223,34.68,"United Kingdom Atomic Energy Authority"
"395",2013-08-17,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694274,35.66,"United Kingdom Atomic Energy Authority"
"396",2013-08-03,"OTHER EMPLOYEE EXPENSES","FUSION","EMPLOYEE EXPENSES",100694165,36.95,"United Kingdom Atomic Energy Authority"
"397",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694159,38.79,"United Kingdom Atomic Energy Authority"
"398",2013-08-23,"ROAD TRAVEL","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694366,39.5,"United Kingdom Atomic Energy Authority"
"399",2013-08-17,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694279,40,"United Kingdom Atomic Energy Authority"
"400",2013-08-08,"OTHER EMPLOYEE EXPENSES","FUSION","EMPLOYEE EXPENSES",100694208,40.19,"United Kingdom Atomic Energy Authority"
"401",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694367,40.48,"United Kingdom Atomic Energy Authority"
"402",2013-08-10,"TAXIS","FUSION","EMPLOYEE EXPENSES",100694221,41.5,"United Kingdom Atomic Energy Authority"
"403",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694152,45.25,"United Kingdom Atomic Energy Authority"
"404",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694158,46.76,"United Kingdom Atomic Energy Authority"
"405",2013-08-10,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694220,46.92,"United Kingdom Atomic Energy Authority"
"406",2013-08-23,"PROFESSIONAL SUBSCRIPTION","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694375,47,"United Kingdom Atomic Energy Authority"
"407",2013-08-10,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694220,48.33,"United Kingdom Atomic Energy Authority"
"408",2013-08-03,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694160,49.5,"United Kingdom Atomic Energy Authority"
"409",2013-08-23,"RAIL TRAVEL","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694376,49.8,"United Kingdom Atomic Energy Authority"
"410",2013-08-17,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694273,52.84,"United Kingdom Atomic Energy Authority"
"411",2013-08-23,"BUSINESS ENTERTAINMENT","FUSION","EMPLOYEE EXPENSES",100694368,53.43,"United Kingdom Atomic Energy Authority"
"412",2013-08-03,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694154,54,"United Kingdom Atomic Energy Authority"
"413",2013-08-17,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694273,54,"United Kingdom Atomic Energy Authority"
"414",2013-08-10,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694225,55.35,"United Kingdom Atomic Energy Authority"
"415",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694166,56.85,"United Kingdom Atomic Energy Authority"
"416",2013-08-23,"TAXIS","FUSION","EMPLOYEE EXPENSES",100694367,68.45,"United Kingdom Atomic Energy Authority"
"417",2013-08-23,"ROAD TRAVEL","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694376,72.6,"United Kingdom Atomic Energy Authority"
"418",2013-08-08,"BUSINESS ENTERTAINMENT","FUSION","EMPLOYEE EXPENSES",100694209,75.8,"United Kingdom Atomic Energy Authority"
"419",2013-08-23,"RAIL TRAVEL","FUSION","EMPLOYEE EXPENSES",100694374,79.16,"United Kingdom Atomic Energy Authority"
"420",2013-08-10,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694221,82.3,"United Kingdom Atomic Energy Authority"
"421",2013-08-23,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694370,88.2,"United Kingdom Atomic Energy Authority"
"422",2013-08-23,"TAXIS","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694366,94,"United Kingdom Atomic Energy Authority"
"423",2013-08-08,"BUSINESS ENTERTAINMENT","FUSION","EMPLOYEE EXPENSES",100694207,95.23,"United Kingdom Atomic Energy Authority"
"424",2013-08-23,"MILEAGE ALLOWANCE","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694376,107.1,"United Kingdom Atomic Energy Authority"
"425",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694159,110,"United Kingdom Atomic Energy Authority"
"426",2013-08-17,"PROFESSIONAL SUBSCRIPTION","FUSION","EMPLOYEE EXPENSES",100694275,111,"United Kingdom Atomic Energy Authority"
"427",2013-08-23,"RAIL TRAVEL","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694366,123.6,"United Kingdom Atomic Energy Authority"
"428",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694156,123.9,"United Kingdom Atomic Energy Authority"
"429",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694166,124.24,"United Kingdom Atomic Energy Authority"
"430",2013-08-17,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694274,130.11,"United Kingdom Atomic Energy Authority"
"431",2013-08-17,"OTHER EMPLOYEE EXPENSES","FUSION","EMPLOYEE EXPENSES",100694281,133,"United Kingdom Atomic Energy Authority"
"432",2013-08-23,"AIR TRAVEL","FUSION","EMPLOYEE EXPENSES",100694374,139.53,"United Kingdom Atomic Energy Authority"
"433",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694367,140,"United Kingdom Atomic Energy Authority"
"434",2013-08-17,"CAR HIRE","FUSION","EMPLOYEE EXPENSES",100694274,158.98,"United Kingdom Atomic Energy Authority"
"435",2013-08-19,"SUBSISTENCE","SUPPORT SERVICES","EMPLOYEE EXPENSES",1900058680,160.08,"United Kingdom Atomic Energy Authority"
"436",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694371,160.43,"United Kingdom Atomic Energy Authority"
"437",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694370,173.33,"United Kingdom Atomic Energy Authority"
"438",2013-08-08,"CAR HIRE","FUSION","EMPLOYEE EXPENSES",100694206,182.57,"United Kingdom Atomic Energy Authority"
"439",2013-08-03,"AIR TRAVEL","FUSION","EMPLOYEE EXPENSES",100694152,204.77,"United Kingdom Atomic Energy Authority"
"440",2013-08-17,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694280,212.82,"United Kingdom Atomic Energy Authority"
"441",2013-08-23,"OTHER EMPLOYEE EXPENSES","FUSION","EMPLOYEE EXPENSES",100694374,226.31,"United Kingdom Atomic Energy Authority"
"442",2013-08-08,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694206,304.56,"United Kingdom Atomic Energy Authority"
"443",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694369,311.87,"United Kingdom Atomic Energy Authority"
"444",2013-08-23,"PROFESSIONAL SUBSCRIPTION","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694376,360,"United Kingdom Atomic Energy Authority"
"445",2013-08-03,"BUSINESS ENTERTAINMENT","FUSION","EMPLOYEE EXPENSES",100694165,369.5,"United Kingdom Atomic Energy Authority"
"446",2013-08-03,"OTHER EMPLOYEE EXPENSES","FUSION","EMPLOYEE EXPENSES",100694152,427.2,"United Kingdom Atomic Energy Authority"
"447",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694364,464.52,"United Kingdom Atomic Energy Authority"
"448",2013-08-17,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694277,467.77,"United Kingdom Atomic Energy Authority"
"449",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694171,486.91,"United Kingdom Atomic Energy Authority"
"450",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694152,491.34,"United Kingdom Atomic Energy Authority"
"451",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694374,493,"United Kingdom Atomic Energy Authority"
"452",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694153,548.61,"United Kingdom Atomic Energy Authority"
"453",2013-08-08,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694208,563.67,"United Kingdom Atomic Energy Authority"
"454",2013-08-10,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694221,581.56,"United Kingdom Atomic Energy Authority"
"455",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694365,598.52,"United Kingdom Atomic Energy Authority"
"456",2013-08-23,"CONFERENCES/MEETINGS","FUSION","EMPLOYEE EXPENSES",1900058715,682.67,"United Kingdom Atomic Energy Authority"
"457",2013-08-07,"SUBSISTENCE","FUSION","VISITOR EXPENSES",1900058620,700,"United Kingdom Atomic Energy Authority"
"458",2013-08-07,"SUBSISTENCE","FUSION","VISITOR EXPENSES",1900058621,700,"United Kingdom Atomic Energy Authority"
"459",2013-08-03,"PROFESSIONAL SUBSCRIPTION","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694169,1125,"United Kingdom Atomic Energy Authority"
"460",2013-08-21,"PROFESSIONAL SERVICES","FUSION","ENERGY SAFETY AND RISK CONSULTANTS",5100292602,33360.97,"United Kingdom Atomic Energy Authority"
"461",2013-08-14,"SITE SUPPORT SERVICES","FUSION","EVERSON TESLA INC",5100292508,16787.19,"United Kingdom Atomic Energy Authority"
"462",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291894,-404.35,"United Kingdom Atomic Energy Authority"
"463",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291800,1.19,"United Kingdom Atomic Energy Authority"
"464",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292032,1.95,"United Kingdom Atomic Energy Authority"
"465",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291812,4.2,"United Kingdom Atomic Energy Authority"
"466",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291848,4.6,"United Kingdom Atomic Energy Authority"
"467",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291821,4.76,"United Kingdom Atomic Energy Authority"
"468",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291827,6,"United Kingdom Atomic Energy Authority"
"469",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291788,6.22,"United Kingdom Atomic Energy Authority"
"470",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292468,10.33,"United Kingdom Atomic Energy Authority"
"471",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292038,10.4,"United Kingdom Atomic Energy Authority"
"472",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291792,15.04,"United Kingdom Atomic Energy Authority"
"473",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292271,15.12,"United Kingdom Atomic Energy Authority"
"474",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291942,15.4,"United Kingdom Atomic Energy Authority"
"475",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292262,16.16,"United Kingdom Atomic Energy Authority"
"476",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292273,16.56,"United Kingdom Atomic Energy Authority"
"477",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292749,21.43,"United Kingdom Atomic Energy Authority"
"478",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291831,22.4,"United Kingdom Atomic Energy Authority"
"479",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291793,23.74,"United Kingdom Atomic Energy Authority"
"480",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292543,24.6,"United Kingdom Atomic Energy Authority"
"481",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291893,30.42,"United Kingdom Atomic Energy Authority"
"482",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292542,30.8,"United Kingdom Atomic Energy Authority"
"483",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291840,35.9,"United Kingdom Atomic Energy Authority"
"484",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292260,36.26,"United Kingdom Atomic Energy Authority"
"485",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292035,36.53,"United Kingdom Atomic Energy Authority"
"486",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292470,40.51,"United Kingdom Atomic Energy Authority"
"487",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292267,41.25,"United Kingdom Atomic Energy Authority"
"488",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100290855,43.3,"United Kingdom Atomic Energy Authority"
"489",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291823,44.78,"United Kingdom Atomic Energy Authority"
"490",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292627,45.08,"United Kingdom Atomic Energy Authority"
"491",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291824,45.9,"United Kingdom Atomic Energy Authority"
"492",2013-08-14,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291815,47.28,"United Kingdom Atomic Energy Authority"
"493",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291797,48.34,"United Kingdom Atomic Energy Authority"
"494",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292742,48.68,"United Kingdom Atomic Energy Authority"
"495",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292544,52.8,"United Kingdom Atomic Energy Authority"
"496",2013-08-07,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292194,60.75,"United Kingdom Atomic Energy Authority"
"497",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292403,61.7,"United Kingdom Atomic Energy Authority"
"498",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291784,63.23,"United Kingdom Atomic Energy Authority"
"499",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292265,64.39,"United Kingdom Atomic Energy Authority"
"500",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291819,69.53,"United Kingdom Atomic Energy Authority"
"501",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291811,71.2,"United Kingdom Atomic Energy Authority"
"502",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292628,72,"United Kingdom Atomic Energy Authority"
"503",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292157,73.65,"United Kingdom Atomic Energy Authority"
"504",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292275,76.4,"United Kingdom Atomic Energy Authority"
"505",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291941,80.35,"United Kingdom Atomic Energy Authority"
"506",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292467,82,"United Kingdom Atomic Energy Authority"
"507",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291943,84.3,"United Kingdom Atomic Energy Authority"
"508",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292040,85.76,"United Kingdom Atomic Energy Authority"
"509",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292272,92.86,"United Kingdom Atomic Energy Authority"
"510",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292158,93.72,"United Kingdom Atomic Energy Authority"
"511",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291825,94.04,"United Kingdom Atomic Energy Authority"
"512",2013-08-07,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292036,96.53,"United Kingdom Atomic Energy Authority"
"513",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292401,96.63,"United Kingdom Atomic Energy Authority"
"514",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292030,99.77,"United Kingdom Atomic Energy Authority"
"515",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291789,99.8,"United Kingdom Atomic Energy Authority"
"516",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291804,100.1,"United Kingdom Atomic Energy Authority"
"517",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292402,101.78,"United Kingdom Atomic Energy Authority"
"518",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292465,101.97,"United Kingdom Atomic Energy Authority"
"519",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291787,102.24,"United Kingdom Atomic Energy Authority"
"520",2013-08-14,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292530,107.31,"United Kingdom Atomic Energy Authority"
"521",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292748,110.5,"United Kingdom Atomic Energy Authority"
"522",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292529,124.29,"United Kingdom Atomic Energy Authority"
"523",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291791,126.85,"United Kingdom Atomic Energy Authority"
"524",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291534,127.3,"United Kingdom Atomic Energy Authority"
"525",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291826,134.5,"United Kingdom Atomic Energy Authority"
"526",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291833,136.23,"United Kingdom Atomic Energy Authority"
"527",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292268,140.55,"United Kingdom Atomic Energy Authority"
"528",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291842,141.31,"United Kingdom Atomic Energy Authority"
"529",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292466,143.25,"United Kingdom Atomic Energy Authority"
"530",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291829,144.7,"United Kingdom Atomic Energy Authority"
"531",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292270,151.11,"United Kingdom Atomic Energy Authority"
"532",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291542,154,"United Kingdom Atomic Energy Authority"
"533",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291786,155.72,"United Kingdom Atomic Energy Authority"
"534",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292197,157.68,"United Kingdom Atomic Energy Authority"
"535",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291805,169.72,"United Kingdom Atomic Energy Authority"
"536",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291939,170.47,"United Kingdom Atomic Energy Authority"
"537",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292031,170.9,"United Kingdom Atomic Energy Authority"
"538",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292629,174.63,"United Kingdom Atomic Energy Authority"
"539",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292545,177.34,"United Kingdom Atomic Energy Authority"
"540",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292039,182.14,"United Kingdom Atomic Energy Authority"
"541",2013-07-29,"MATERIALS & SPARES","SUPPORT SERVICES","FARNELL ELECTRONIC",5100291847,200.6,"United Kingdom Atomic Energy Authority"
"542",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291794,211.9,"United Kingdom Atomic Energy Authority"
"543",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291850,213.72,"United Kingdom Atomic Energy Authority"
"544",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292469,217.85,"United Kingdom Atomic Energy Authority"
"545",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292269,217.92,"United Kingdom Atomic Energy Authority"
"546",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292630,223.2,"United Kingdom Atomic Energy Authority"
"547",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292264,225.4,"United Kingdom Atomic Energy Authority"
"548",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292744,246.55,"United Kingdom Atomic Energy Authority"
"549",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292540,252.54,"United Kingdom Atomic Energy Authority"
"550",2013-08-19,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292541,259.98,"United Kingdom Atomic Energy Authority"
"551",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292404,263.82,"United Kingdom Atomic Energy Authority"
"552",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291799,274.3,"United Kingdom Atomic Energy Authority"
"553",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291822,274.9,"United Kingdom Atomic Energy Authority"
"554",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291837,278.59,"United Kingdom Atomic Energy Authority"
"555",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292037,285,"United Kingdom Atomic Energy Authority"
"556",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291798,304.4,"United Kingdom Atomic Energy Authority"
"557",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292196,412.35,"United Kingdom Atomic Energy Authority"
"558",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291830,503.1,"United Kingdom Atomic Energy Authority"
"559",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292195,512.25,"United Kingdom Atomic Energy Authority"
"560",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292274,521.27,"United Kingdom Atomic Energy Authority"
"561",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291838,531.4,"United Kingdom Atomic Energy Authority"
"562",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291839,547.8,"United Kingdom Atomic Energy Authority"
"563",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291785,551.05,"United Kingdom Atomic Energy Authority"
"564",2013-07-29,"MATERIALS & SPARES","SUPPORT SERVICES","FARNELL ELECTRONIC",5100291790,711.9,"United Kingdom Atomic Energy Authority"
"565",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291828,778.4,"United Kingdom Atomic Energy Authority"
"566",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291892,854.84,"United Kingdom Atomic Energy Authority"
"567",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291832,1019.93,"United Kingdom Atomic Energy Authority"
"568",2013-08-12,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292464,1325.17,"United Kingdom Atomic Energy Authority"
"569",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291940,1350.42,"United Kingdom Atomic Energy Authority"
"570",2013-07-29,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100291844,1448.4,"United Kingdom Atomic Energy Authority"
"571",2013-08-05,"MATERIALS & SPARES","FUSION","FARNELL ELECTRONIC",5100292034,1997.5,"United Kingdom Atomic Energy Authority"
"572",2013-08-05,"SOFTWARE","FUSION","FARO UK LTD",5100292121,41125,"United Kingdom Atomic Energy Authority"
"573",2013-08-12,"MATERIALS & SPARES","FUSION","FASTFIX",5100292311,91.63,"United Kingdom Atomic Energy Authority"
"574",2013-08-19,"STATIONERY","FUSION","FINE PRINT SERVICES",5100292012,325,"United Kingdom Atomic Energy Authority"
"575",2013-08-12,"MATERIALS & SPARES","FUSION","FIRE CHECK",5100292245,8592,"United Kingdom Atomic Energy Authority"
"576",2013-08-12,"PLANT & EQUIPMENT","SUPPORT SERVICES","FISHER SCIENTIFIC UK LTD",5100292528,30.73,"United Kingdom Atomic Energy Authority"
"577",2013-08-19,"PLANT & EQUIPMENT","FUSION","FISHER SCIENTIFIC UK LTD",5100292632,80.88,"United Kingdom Atomic Energy Authority"
"578",2013-08-05,"PLANT & EQUIPMENT","FUSION","FISHER SCIENTIFIC UK LTD",5100292045,88.16,"United Kingdom Atomic Energy Authority"
"579",2013-08-19,"PLANT & EQUIPMENT","FUSION","FISHER SCIENTIFIC UK LTD",5100292752,155.66,"United Kingdom Atomic Energy Authority"
"580",2013-08-12,"PLANT & EQUIPMENT","FUSION","FISHER SCIENTIFIC UK LTD",5100292531,159.8,"United Kingdom Atomic Energy Authority"
"581",2013-08-12,"PLANT & EQUIPMENT","SUPPORT SERVICES","FISHER SCIENTIFIC UK LTD",5100292295,175.93,"United Kingdom Atomic Energy Authority"
"582",2013-08-12,"PLANT & EQUIPMENT","FUSION","FISHER SCIENTIFIC UK LTD",5100292297,252,"United Kingdom Atomic Energy Authority"
"583",2013-07-29,"PLANT & EQUIPMENT","FUSION","FISHER SCIENTIFIC UK LTD",5100291889,268.35,"United Kingdom Atomic Energy Authority"
"584",2013-08-19,"PLANT & EQUIPMENT","FUSION","FISHER SCIENTIFIC UK LTD",5100292753,455,"United Kingdom Atomic Energy Authority"
"585",2013-08-12,"PLANT & EQUIPMENT","FUSION","FISHER SCIENTIFIC UK LTD",5100292532,1748.12,"United Kingdom Atomic Energy Authority"
"586",2013-08-21,"CONSULTANCY","FUSION","FOOTWORK FISRT LTD",5100292615,325,"United Kingdom Atomic Energy Authority"
"587",2013-07-31,"EFDA SECONDEE CONTRACT","FUSION","FORSCHUNGSZENTRUM JULICH",5100291511,28912.93,"United Kingdom Atomic Energy Authority"
"588",2013-07-29,"MATERIALS & SPARES","FUSION","FORWARD 2000 LTD",5100291857,90.46,"United Kingdom Atomic Energy Authority"
"589",2013-08-12,"MATERIALS & SPARES","FUSION","FORWARD 2000 LTD",5100292331,364.64,"United Kingdom Atomic Energy Authority"
"590",2013-07-31,"RESEARCH & DEVELOPMENT","FUSION","FRAZER NASH CONSULTANCY",5100292008,30000,"United Kingdom Atomic Energy Authority"
