"","Department","Entity","Expense Category","Expense Area","Supplier Name","Transaction Reference","Date Paid","Amount"
"425","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Thursby Surgery",15623,2011-01-24,2602.12
"426","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Thursby Surgery",15623,2011-01-24,3375
"427","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Thursby Surgery",15623,2011-01-24,9136.36
"428","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Thursby Surgery",15623,2011-01-24,9976.62
"429","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Dr Rishton & Partners",15623,2011-01-24,43279.35
"430","Department of Health","NHS East Lancashire","GMS NES - Intra Partum Care","GMS","Dr Rishton & Partners",15623,2011-01-24,8.33
"431","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Dr Rishton & Partners",15623,2011-01-24,22.59
"432","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Dr Rishton & Partners",15623,2011-01-24,35.4
"433","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Dr Rishton & Partners",15623,2011-01-24,64.5
"434","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Dr Rishton & Partners",15623,2011-01-24,130
"435","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Dr Rishton & Partners",15623,2011-01-24,200
"436","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Dr Rishton & Partners",15623,2011-01-24,286.08
"437","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Dr Rishton & Partners",15623,2011-01-24,292
"438","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Dr Rishton & Partners",15623,2011-01-24,427.08
"439","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Dr Rishton & Partners",15623,2011-01-24,450
"440","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Dr Rishton & Partners",15623,2011-01-24,600
"441","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Dr Rishton & Partners",15623,2011-01-24,1166.67
"442","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Dr Rishton & Partners",15623,2011-01-24,3255.65
"443","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Dr Rishton & Partners",15623,2011-01-24,9066.66
"444","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Dr Rishton & Partners",15623,2011-01-24,11469.53
"445","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Dr Rishton & Partners",15623,2011-01-24,53318.01
"446","Department of Health","NHS East Lancashire","GMS - Adv Recd - Disp GP's","GMS","The Castle Medical Group",15623,2011-01-24,-55937.1
"447","Department of Health","NHS East Lancashire","GMS Health Centre Charges","GMS","The Castle Medical Group",15623,2011-01-24,-3355.83
"448","Department of Health","NHS East Lancashire","GMS - Prescription Charges - Disp Drs","GMS","The Castle Medical Group",15623,2011-01-24,-2260.8
"449","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","The Castle Medical Group",15623,2011-01-24,53.2
"450","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","The Castle Medical Group",15623,2011-01-24,79.65
"451","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","The Castle Medical Group",15623,2011-01-24,112.74
"452","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","The Castle Medical Group",15623,2011-01-24,200
"453","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","The Castle Medical Group",15623,2011-01-24,201.77
"454","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","The Castle Medical Group",15623,2011-01-24,427.08
"455","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","The Castle Medical Group",15623,2011-01-24,475
"456","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","The Castle Medical Group",15623,2011-01-24,500
"457","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","The Castle Medical Group",15623,2011-01-24,639.5
"458","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","The Castle Medical Group",15623,2011-01-24,783.67
"459","Department of Health","NHS East Lancashire","GMS NES - Anti Coagulant Monitoring","GMS","The Castle Medical Group",15623,2011-01-24,1000
"460","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","The Castle Medical Group",15623,2011-01-24,1083.33
"461","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","The Castle Medical Group",15623,2011-01-24,1916.67
"462","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","The Castle Medical Group",15623,2011-01-24,2000
"463","Department of Health","NHS East Lancashire","GMS NES - Minor Injuries Service","GMS","The Castle Medical Group",15623,2011-01-24,2250
"464","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","The Castle Medical Group",15623,2011-01-24,3202
"465","Department of Health","NHS East Lancashire","GMS PCO - Locum Allowance Adopt Paternity Maternity","GMS","The Castle Medical Group",15623,2011-01-24,4765.53
"466","Department of Health","NHS East Lancashire","GMS LES - Dermatology","GMS","The Castle Medical Group",15623,2011-01-24,10000
"467","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","The Castle Medical Group",15623,2011-01-24,11701.68
"468","Department of Health","NHS East Lancashire","GMS - Dispensing Personal Administration","GMS","The Castle Medical Group",15623,2011-01-24,14666.28
"469","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","The Castle Medical Group",15623,2011-01-24,18735.51
"470","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Disp GPs","GMS","The Castle Medical Group",15623,2011-01-24,57444.77
"471","Department of Health","NHS East Lancashire","GMS - Adv Paid - Disp GP's","GMS","The Castle Medical Group",15623,2011-01-24,63921.01
"472","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","The Castle Medical Group",15623,2011-01-24,71615.52
"473","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Oxford Road Surgery",15623,2011-01-24,7.51
"474","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Oxford Road Surgery",15623,2011-01-24,30
"475","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Oxford Road Surgery",15623,2011-01-24,35.4
"476","Department of Health","NHS East Lancashire","GMS DES - IM&T Developments","GMS","Oxford Road Surgery",15623,2011-01-24,53.47
"477","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Oxford Road Surgery",15623,2011-01-24,59.83
"478","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Oxford Road Surgery",15623,2011-01-24,84.2
"479","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Oxford Road Surgery",15623,2011-01-24,104.83
"480","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Oxford Road Surgery",15623,2011-01-24,210
"481","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Oxford Road Surgery",15623,2011-01-24,391.33
"482","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Oxford Road Surgery",15623,2011-01-24,500
"483","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Oxford Road Surgery",15623,2011-01-24,617.74
"484","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Oxford Road Surgery",15623,2011-01-24,650
"485","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Oxford Road Surgery",15623,2011-01-24,1426.81
"486","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Oxford Road Surgery",15623,2011-01-24,2202.06
"487","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Oxford Road Surgery",15623,2011-01-24,2708.4
"488","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Oxford Road Surgery",15623,2011-01-24,5066.91
"489","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Oxford Road Surgery",15623,2011-01-24,5228.65
"490","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Oxford Road Surgery",15623,2011-01-24,22937.84
"491","Department of Health","NHS East Lancashire","GMS - Swine Flu","GMS","Stonebridge Surgery",15623,2011-01-24,15.75
"492","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Stonebridge Surgery",15623,2011-01-24,22.53
"493","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Stonebridge Surgery",15623,2011-01-24,44.25
"494","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Stonebridge Surgery",15623,2011-01-24,50
"495","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Stonebridge Surgery",15623,2011-01-24,63.11
"496","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Stonebridge Surgery",15623,2011-01-24,75
"497","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Stonebridge Surgery",15623,2011-01-24,79.39
"498","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Stonebridge Surgery",15623,2011-01-24,275
"499","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Stonebridge Surgery",15623,2011-01-24,305.92
"500","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Stonebridge Surgery",15623,2011-01-24,427.08
"501","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Stonebridge Surgery",15623,2011-01-24,925
"502","Department of Health","NHS East Lancashire","GMS NES - Anti Coagulant Monitoring","GMS","Stonebridge Surgery",15623,2011-01-24,1213.58
"503","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Stonebridge Surgery",15623,2011-01-24,1450
"504","Department of Health","NHS East Lancashire","GMS NES - Minor Injuries Service","GMS","Stonebridge Surgery",15623,2011-01-24,1500
"505","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Stonebridge Surgery",15623,2011-01-24,3411.04
"506","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Stonebridge Surgery",15623,2011-01-24,3479.17
"507","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Stonebridge Surgery",15623,2011-01-24,7841.81
"508","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Stonebridge Surgery",15623,2011-01-24,10291.78
"509","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Stonebridge Surgery",15623,2011-01-24,39175.87
"510","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Ilex Vew Medical Practice",15623,2011-01-24,17.7
"511","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Ilex Vew Medical Practice",15623,2011-01-24,30
"512","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Ilex Vew Medical Practice",15623,2011-01-24,68.33
"513","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Ilex Vew Medical Practice",15623,2011-01-24,75.19
"514","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Ilex Vew Medical Practice",15623,2011-01-24,350
"515","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Ilex Vew Medical Practice",15623,2011-01-24,600
"516","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Ilex Vew Medical Practice",15623,2011-01-24,1887.86
"517","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Ilex Vew Medical Practice",15623,2011-01-24,6330.61
"518","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Ilex Vew Medical Practice",15623,2011-01-24,7180.34
"519","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Ilex Vew Medical Practice",15623,2011-01-24,33844.07
"520","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Padiham Group Practice",15623,2011-01-24,15.02
"521","Department of Health","NHS East Lancashire","GMS NES - Intra Partum Care","GMS","Padiham Group Practice",15623,2011-01-24,29.17
"522","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Padiham Group Practice",15623,2011-01-24,35.4
"523","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Padiham Group Practice",15623,2011-01-24,108.92
"524","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Padiham Group Practice",15623,2011-01-24,125.56
"525","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Padiham Group Practice",15623,2011-01-24,165
"526","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Padiham Group Practice",15623,2011-01-24,165.05
"527","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Padiham Group Practice",15623,2011-01-24,208.33
"528","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Padiham Group Practice",15623,2011-01-24,316.2
"529","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Padiham Group Practice",15623,2011-01-24,639.5
"530","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Padiham Group Practice",15623,2011-01-24,675
"531","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Padiham Group Practice",15623,2011-01-24,844.75
"532","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Padiham Group Practice",15623,2011-01-24,1198.96
"533","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Padiham Group Practice",15623,2011-01-24,1450
"534","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Padiham Group Practice",15623,2011-01-24,3705.79
"535","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Padiham Group Practice",15623,2011-01-24,5000
"536","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Padiham Group Practice",15623,2011-01-24,13960.37
"537","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Padiham Group Practice",15623,2011-01-24,14204.99
"538","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Padiham Group Practice",15623,2011-01-24,69297.63
"539","Department of Health","NHS East Lancashire","PMS LES - Human Papilloma Virus (HPV)  Incentive Scheme","PMS","Drs Razzaque & Doherty",15623,2011-01-15,30.07
"540","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Drs Razzaque & Doherty",15623,2011-01-15,35.4
"541","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Drs Razzaque & Doherty",15623,2011-01-15,89.31
"542","Department of Health","NHS East Lancashire","PMS NES - Minor Injuries Service","PMS","Drs Razzaque & Doherty",15623,2011-01-15,125
"543","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Drs Razzaque & Doherty",15623,2011-01-15,132.42
"544","Department of Health","NHS East Lancashire","PMS LES - HDSU Sterilisation of Equipment","PMS","Drs Razzaque & Doherty",15623,2011-01-15,217.91
"545","Department of Health","NHS East Lancashire","PMS NES - Intra Uterine Contraceptive Device","PMS","Drs Razzaque & Doherty",15623,2011-01-15,333.33
"546","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Drs Razzaque & Doherty",15623,2011-01-15,425.75
"547","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Drs Razzaque & Doherty",15623,2011-01-15,769.17
"548","Department of Health","NHS East Lancashire","PMS DES - IM&T Developments","PMS","Drs Razzaque & Doherty",15623,2011-01-15,1117.17
"549","Department of Health","NHS East Lancashire","PMS - Non Disp Personal Administration","PMS","Drs Razzaque & Doherty",15623,2011-01-15,1327.87
"550","Department of Health","NHS East Lancashire","PMS LES - Coronary Vascular Disease","PMS","Drs Razzaque & Doherty",15623,2011-01-15,2810
"551","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Drs Razzaque & Doherty",15623,2011-01-15,4523.67
"552","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Drs Razzaque & Doherty",15623,2011-01-15,6005.17
"553","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Drs Razzaque & Doherty",15623,2011-01-15,6683.44
"554","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Drs Razzaque & Doherty",15623,2011-01-15,10555.07
"555","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Drs Razzaque & Doherty",15623,2011-01-15,13185.08
"556","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Drs Razzaque & Doherty",15623,2011-01-15,33832.07
"557","Department of Health","NHS East Lancashire","GMS - Swine Flu","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,5.25
"558","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,7.51
"559","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,8.85
"560","Department of Health","NHS East Lancashire","GMS NES - Intra Partum Care","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,12.5
"561","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,69.23
"562","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,70
"563","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,114.25
"564","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,458.33
"565","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,725
"566","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,800
"567","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,1260.8
"568","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,5440.08
"569","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,5606.33
"570","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Drs Barsby & Kallarackel",15623,2011-01-24,23068.78
"571","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Burnely Wood Medical Centre",15623,2011-01-24,19.48
"572","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Burnely Wood Medical Centre",15623,2011-01-24,35.4
"573","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Burnely Wood Medical Centre",15623,2011-01-24,44.66
"574","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Burnely Wood Medical Centre",15623,2011-01-24,72.5
"575","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Burnely Wood Medical Centre",15623,2011-01-24,240.83
"576","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Burnely Wood Medical Centre",15623,2011-01-24,342.92
"577","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Burnely Wood Medical Centre",15623,2011-01-24,427.08
"578","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Burnely Wood Medical Centre",15623,2011-01-24,700
"579","Department of Health","NHS East Lancashire","GMS DES - IM&T Developments","GMS","Burnely Wood Medical Centre",15623,2011-01-24,869.5
"580","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Burnely Wood Medical Centre",15623,2011-01-24,899.1
"581","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Burnely Wood Medical Centre",15623,2011-01-24,1160.59
"582","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Burnely Wood Medical Centre",15623,2011-01-24,1175
"583","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Burnely Wood Medical Centre",15623,2011-01-24,2583.33
"584","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Burnely Wood Medical Centre",15623,2011-01-24,4249.25
"585","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Burnely Wood Medical Centre",15623,2011-01-24,6542.19
"586","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Burnely Wood Medical Centre",15623,2011-01-24,31760.28
"587","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Myrtle House Medical Centre",15623,2011-01-24,44.25
"588","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Myrtle House Medical Centre",15623,2011-01-24,59.54
"589","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Myrtle House Medical Centre",15623,2011-01-24,67.5
"590","Department of Health","NHS East Lancashire","GMS DES - Services for Violent Patients/Zero Tolerance","GMS","Myrtle House Medical Centre",15623,2011-01-24,172.33
"591","Department of Health","NHS East Lancashire","GMS LES - MMR under 25's campaign","GMS","Myrtle House Medical Centre",15623,2011-01-24,218.4
"592","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Myrtle House Medical Centre",15623,2011-01-24,275
"593","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Myrtle House Medical Centre",15623,2011-01-24,311.2
"594","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Myrtle House Medical Centre",15623,2011-01-24,313.92
"595","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Myrtle House Medical Centre",15623,2011-01-24,362.5
"596","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Myrtle House Medical Centre",15623,2011-01-24,537.48
"597","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Myrtle House Medical Centre",15623,2011-01-24,725
"598","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Myrtle House Medical Centre",15623,2011-01-24,940
"599","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Myrtle House Medical Centre",15623,2011-01-24,1917.77
"600","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Myrtle House Medical Centre",15623,2011-01-24,2333.33
"601","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Myrtle House Medical Centre",15623,2011-01-24,6883.26
"602","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Myrtle House Medical Centre",15623,2011-01-24,7464.07
"603","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Myrtle House Medical Centre",15623,2011-01-24,32594.26
"604","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Blackburn Road Medical Centre",15623,2011-01-24,22.59
"605","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Blackburn Road Medical Centre",15623,2011-01-24,44.25
"606","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Blackburn Road Medical Centre",15623,2011-01-24,62.5
"607","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Blackburn Road Medical Centre",15623,2011-01-24,69.46
"608","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Blackburn Road Medical Centre",15623,2011-01-24,200
"609","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Blackburn Road Medical Centre",15623,2011-01-24,792.45
"610","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Blackburn Road Medical Centre",15623,2011-01-24,950
"611","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Blackburn Road Medical Centre",15623,2011-01-24,2458.33
"612","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Blackburn Road Medical Centre",15623,2011-01-24,5222.54
"613","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Blackburn Road Medical Centre",15623,2011-01-24,23285.46
"614","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Oswald Medical Centre",15623,2011-01-15,24.8
"615","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Oswald Medical Centre",15623,2011-01-15,44.25
"616","Department of Health","NHS East Lancashire","PMS NES - Intra Uterine Contraceptive Device","PMS","Oswald Medical Centre",15623,2011-01-15,50
"617","Department of Health","NHS East Lancashire","PMS LES - Medicine Management","PMS","Oswald Medical Centre",15623,2011-01-15,427.08
"618","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Oswald Medical Centre",15623,2011-01-15,857.58
"619","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Oswald Medical Centre",15623,2011-01-15,923.33
"620","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Oswald Medical Centre",15623,2011-01-15,1096.75
"621","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Oswald Medical Centre",15623,2011-01-15,1910
"622","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Oswald Medical Centre",15623,2011-01-15,3405.58
"623","Department of Health","NHS East Lancashire","PMS LES - Coronary Vascular Disease","PMS","Oswald Medical Centre",15623,2011-01-15,3485
"624","Department of Health","NHS East Lancashire","PMS DES - Extended Hours","PMS","Oswald Medical Centre",15623,2011-01-15,3705
"625","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Oswald Medical Centre",15623,2011-01-15,6489.81
"626","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Oswald Medical Centre",15623,2011-01-15,9523.97
"627","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Oswald Medical Centre",15623,2011-01-15,14145.42
"628","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Oswald Medical Centre",15623,2011-01-15,53909.77
"629","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Ightenhill Medical Centre",15623,2011-01-24,6.42
"630","Department of Health","NHS East Lancashire","GMS LES - MMR under 25's campaign","GMS","Ightenhill Medical Centre",15623,2011-01-24,14.56
"631","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Ightenhill Medical Centre",15623,2011-01-24,15
"632","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Ightenhill Medical Centre",15623,2011-01-24,17.7
"633","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Ightenhill Medical Centre",15623,2011-01-24,22.49
"634","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Ightenhill Medical Centre",15623,2011-01-24,22.56
"635","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Ightenhill Medical Centre",15623,2011-01-24,48.48
"636","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Ightenhill Medical Centre",15623,2011-01-24,64.57
