"","Department","Entity","Date of Payment","Expense Type","Expense Area","Supplier","Transaction Number","Amount"
"274","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024339,33495
"275","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024341,6264.85
"276","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024343,5700
"277","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Economic Consultancy & Research","Energy Markets & Infrastructure - Energy Strategy and Futures","REDPOINT ENERGY LTD",4024347,12100
"278","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Computer Consumables","Corporate Support & Shared Services - Corporate Support & Shared Services","XMA LTD",4024348,1836.14
"279","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024349,5152
"280","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Professional Subscriptions","Corporate Support & Shared Services - Corporate Support & Shared Services","GOSS CONSULTANCY LTD",4024350,1085.25
"281","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024351,29400
"282","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024352,2620
"283","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-14,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024353,299056.04
"284","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-14,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024354,3007
"285","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"DECC Only  - Shared Services - Accommodation","Corporate Support & Shared Services - Corporate Support & Shared Services","BAXTERSTOREY LTD",4024359,562.79
"286","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Administration of Grants and Awards","Energy Markets & Infrastructure - Energy Development Unit","EMU LTD",4024360,1140
"287","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Administration of Grants and Awards","Energy Markets & Infrastructure - Energy Development Unit","EMU LTD",4024360,1120
"288","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-14,"Technical Support","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","IT POWER LTD",4024362,5731.34
"289","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-14,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Energy Strategy and Futures","ADECCO UK LTD",4024363,580.32
"290","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-14,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","ADECCO UK LTD",4024364,551.45
"291","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","ADECCO UK LTD",4024366,748.3
"292","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Energy Strategy and Futures","ADECCO UK LTD",4024374,735.07
"293","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Nuclear Development","ADECCO UK LTD",4024375,887.11
"294","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024376,13787.14
"295","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Project Management Costs (Programme)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","AEA TECHNOLOGY ENVIRONMENT",4024377,16440
"296","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Energy Strategy and Futures","ADECCO UK LTD",4024379,654.2
"297","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","ADECCO UK LTD",4024381,559.44
"298","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","ADECCO UK LTD",4024382,713.83
"299","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","ADECCO UK LTD",4024383,660.76
"300","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","ADECCO UK LTD",4024383,660.76
"301","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","ADECCO UK LTD",4024384,587.41
"302","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Energy Strategy and Futures","ADECCO UK LTD",4024385,739.91
"303","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Nuclear Development","ADECCO UK LTD",4024386,887.11
"304","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Nuclear Development","ADECCO UK LTD",4024390,881.12
"305","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","ADECCO UK LTD",4024391,652.7
"306","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Energy Strategy and Futures","ADECCO UK LTD",4024392,716.16
"307","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","ADECCO UK LTD",4024394,607.39
"308","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","ADECCO UK LTD",4024395,652.7
"309","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Cash Expenditure during the Year - COPD","Energy Markets & Infrastructure - Energy Development Unit","BRM SOLICITORS",4024396,4197
"310","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"IT Software Licences","Energy Markets & Infrastructure - Energy Strategy and Futures","FAIR ISAAC SERVICES LTD",4024397,34512.06
"311","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"External Training (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","PITNEY BOWES SOFTWARE LTD",4024398,1390
"312","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Application Development & Support (PFI)","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024399,187272
"313","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Standard Desktop Services","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024400,22030.92
"314","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Professional/Management)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024401,1286
"315","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","METHODS CONSULTING LTD",4024402,7783.2
"316","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Application Development & Support (PFI)","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024403,49455
"317","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","ALLEN LANE LTD",4024404,2065.5
"318","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Nuclear Development","ADECCO UK LTD",4024407,671.33
"319","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Energy Strategy and Futures","ADECCO UK LTD",4024408,595.12
"320","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Outsourced Programme Management Services","Energy Markets & Infrastructure - DECC Commercial Team","Reed Personnel Services Ltd",4024409,2712
"321","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Outsourced Programme Management Services","Energy Markets & Infrastructure - DECC Commercial Team","Reed Personnel Services Ltd",4024410,2712
"322","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Outsourced Programme Management Services","Energy Markets & Infrastructure - DECC Commercial Team","Reed Personnel Services Ltd",4024411,3390
"323","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Outsourced Programme Management Services","Energy Markets & Infrastructure - DECC Commercial Team","Reed Personnel Services Ltd",4024412,3390
"324","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","GREEN PARK INTERIM & EXECUTIVE LTD",4024415,7948.8
"325","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Administration of Grants and Awards","National Climate Change & Consumer Support - National Climate Change","IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT",4024417,10370
"326","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","ADECCO UK LTD",4024419,668.82
"327","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024420,929.35
"328","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024421,883.8
"329","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Professional/Management)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","MORGAN HUNT UK LTD",4024423,1764.66
"330","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Hire of Agency Staff (Professional/Management)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","MORGAN HUNT UK LTD",4024425,1764.66
"331","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Outsourced Programme Management Services","Energy Markets & Infrastructure - DECC Commercial Team","Reed Personnel Services Ltd",4024427,3051
"332","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","DORSET COUNTY COUNCIL",4024428,20636
"333","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","DORSET COUNTY COUNCIL",4024428,19700
"334","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","DORSET COUNTY COUNCIL",4024428,38947
"335","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","DORSET COUNTY COUNCIL",4024428,20136
"336","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","DORSET COUNTY COUNCIL",4024428,28848
"337","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","DORSET COUNTY COUNCIL",4024428,4750
"338","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","DORSET COUNTY COUNCIL",4024428,15000
"339","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","DORSET COUNTY COUNCIL",4024428,4492.91
"340","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Cash Expenditure during the Year - Concessionary Fuel","Energy Markets & Infrastructure - Energy Development Unit","CPL FUELS",4024429,2112593.28
"341","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","DELOITTE LLP",4024431,67362
"342","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Secondees (not paid directly)","Energy Markets & Infrastructure - Energy Development Unit","ENVIRONMENT AGENCY",4024432,19292
"343","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy & Climate Change International - International Climate Change Negotiations","BROOK STREET (UK) LTD",4024434,792.31
"344","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","BT CONFERENCING",4024435,1228.09
"345","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Security and resilience","BROOK STREET (UK) LTD",4024436,792.31
"346","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","MCCLURE NAISMITH",4024438,16501.96
"347","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","MCCLURE NAISMITH",4024439,20166.68
"348","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","MCCLURE NAISMITH",4024439,585
"349","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","PRICEWATERHOUSECOOPERS LLP",4024440,1323.61
"350","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","NOTTINGHAM CITY COUNCIL",4024442,2e+05
"351","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","OXFORD CITY COUNCIL",4024443,27900
"352","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-15,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","OXFORD CITY COUNCIL",4024443,288545
"353","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Economic Consultancy & Research","National Climate Change & Consumer Support - Energy Efficiency & Consumers","GRANT THORNTON UK LLP",4024445,7613
"354","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Salaries - Casuals (Programme)","Energy Markets & Infrastructure - DECC Commercial Team","HAYS OFFICE SUPPORT",4024446,1192.14
"355","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024447,125000
"356","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024448,20000
"357","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024449,21500
"358","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024450,27693.9
"359","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","QA LTD",4024452,1228.5
"360","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","CLARKSON MANAGEMENT SERVICES LTD",4024454,5437.5
"361","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","LONDON BOROUGH OF HARINGEY",4024455,87500
"362","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","LONDON BOROUGH OF HARINGEY",4024455,65000
"363","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","LONDON BOROUGH OF HARINGEY",4024455,35450
"364","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","LONDON BOROUGH OF HARINGEY",4024455,15000
"365","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","LONDON BOROUGH OF HARINGEY",4024455,25000
"366","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Cash Expenditure during the Year - COPD","Energy Markets & Infrastructure - Energy Development Unit","HUGH JAMES SOLICITORS",4024457,15000
"367","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024463,620.78
"368","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","OFFICE ANGELS LTD",4024466,889.92
"369","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024467,612.88
"370","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024470,585.19
"371","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024472,537.74
"372","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024473,593.1
"373","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024474,593.1
"374","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024475,604.97
"375","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024476,553.56
"376","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Nuclear Development","OFFICE ANGELS LTD",4024477,644.51
"377","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024480,569.38
"378","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024483,612.88
"379","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Carbon Capture and Storage","OFFICE ANGELS LTD",4024486,577.28
"380","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Nuclear Development","OFFICE ANGELS LTD",4024491,593.1
"381","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Nuclear Development","OFFICE ANGELS LTD",4024492,593.1
"382","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","INCLUSIVE LEARNING LTD T/A SKILL BOOSTERS",4024496,3000
"383","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - National Climate Change","OFFICE ANGELS LTD",4024497,500.08
"384","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024498,1607.51
"385","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","NORTHUMBERLAND COUNTY COUNCIL",4024500,168000
"386","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","NORTHUMBERLAND COUNTY COUNCIL",4024500,80000
"387","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024504,844.19
"388","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Board Members National Insurance Deductions (Suspense Account)","Corporate Payments - ","HM REVENUE & CUSTOMS",4024506,1402.76
"389","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Board Members Tax Deductions (Suspense Account)","Corporate Payments - ","HM REVENUE & CUSTOMS",4024507,1919
"390","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Research & Development Expenditure (Programme)","Energy Markets & Infrastructure - Security and resilience","ATKINS LTD",4024515,4662.72
"391","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","ALLEN LANE LTD",4024516,2658
"392","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Application Support Service","Corporate Support & Shared Services - Corporate Support & Shared Services","ORACLE CORPORATION UK LTD",4024517,1329.81
"393","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024520,1607.51
"394","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Capital Grants - Other","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","MTL GROUP LTD",4024521,123932.74
"395","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Secondees (not paid directly)","Energy Markets & Infrastructure - Office of Nuclear Development","COSTAIN LTD",4024527,9000
"396","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Technical Support","National Climate Change & Consumer Support - National Climate Change","ENVIRONMENT AGENCY",4024530,16120.05
"397","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Secondees (not paid directly)","Energy Markets & Infrastructure - Office of Nuclear Development","COSTAIN LTD",4024531,9000
"398","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"External Training","Energy Markets & Infrastructure - Energy Strategy and Futures","OFFICE FOR PUBLIC MANAGEMENT",4024532,2462.5
"399","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Contract Management","National Climate Change & Consumer Support - National Climate Change","AEA TECHNOLOGY ENVIRONMENT",4024533,8540.4
"400","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024534,883.8
"401","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024535,903.32
"402","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Grants - Current - Other","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","LOCAL GOVERNMENT YORKSHIRE AND HUMBER",4024537,6174.83
"403","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Grants - Current - Other","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","LOCAL GOVERNMENT YORKSHIRE AND HUMBER",4024537,1900
"404","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Other IT Costs","National Climate Change & Consumer Support - Communications","EC GROUP",4024538,729.8
"405","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4024539,593.1
"406","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","IMPERIAL COLLEGE LONDON",4024541,4750
"407","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","NABARRO",4024542,280982.97
"408","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","NABARRO",4024542,14292.35
"409","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Furniture","Corporate Support & Shared Services - Corporate Support & Shared Services","FABRIQUE DU METAL LTD T/A ADVANCE SEATING DESIGNS",4024543,669.52
"410","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","MANPOWER UK LTD",4024545,965.34
"411","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","IMPERIAL COLLEGE LONDON",4024546,4750
