CODICE_MUSEO,CODICE_SEDE,PROVINCIA_SEDE,COMUNE_SEDE,DENOMINAZIONE_MUSEO,DENOMINAZIONE_SEDE,INDIRIZZO_SEDE,FRAZIONE_SEDE,CAP_SEDE,TELEFONO_SEDE,FAX_SEDE,EMAIL_SEDE,SITO_WEB_SEDE,SITO_WEB_SEDE_1,NOTE_SEDE,TIPO_RICONOSCIMENTO,TIPOLOGIA_MUSEO,TIPOLOGIA_ENTE_PROPRIETARIO,APERTURA_SEDE,TIPO_CHIUSURA,MOTIVAZIONE_CHIUSURA_TEMPO_DET,NOTE_APERTURA,DESCRIZIONE_ORARI_APERTURA,CHIUSURA_SETTIMANALE,NOTE_ORARI_APERTURA,PARCHEGGI_VICINI,PARCHEGGI_PERS_DISABILITA,BIGLIETTERIA,GUARDAROBA,AREA_ACCOGLIENZA,BOOKSHOP,CAFFETTERIA,AREA_ASSISTENZA_INFANZIA,NOTE_SPAZI_SERVIZIO_PUBBLICO,LABORATORIO_FOTOGRAFICO,LABORATORIO_RESTAURO,LABORATORIO_PREPARAZIONE,LABORATORIO_ANALISI,NOTE_LABORATORI,SERVIZI_IGIENICI,SERV_IG_PERS_DISABILITA,DOTAZ_INFORMATICHE_STUDIO,DOTAZ_INFORMATICHE_AREE_ESP,TIPO_ACCESSO_PERS_DISABILITA,GRATUITO_PAGAMENTO,GIORNO_INGRESSO_GRATIS,PREZZO_INTERO_EURO,PREZZO_RIDOTTO_EURO,PREZZO_GRUPPI_EURO,PREZZO_SCUOLE_EURO,PREZZO_ALTRO_EURO,BIGLIETTO_CUMULATIVO,FIDELIZZAZIONE,ABBONAMENTO,NOTE_MODALITA_ACCESSO,ANNO_RIF_VISITATORI,TOTALE_VISITATORI,SINGOLI,UNDER_18_OVER_65,GRUPPI_SCOLASTICI,GRUPPI_ORGANIZZATI,NOTE_AFFLUENZA_PUBBLICO,STORICO_VISITATORI,DOTATO_CARTA_SERVIZI,SERVIZIO_EDUCATIVO,BIBLIOTECA,FOTOTECA,ARCHIVIO,DEPOSITI_CONSULTABILI,ALTRO,NOTE_SERVIZI_UTENTI,DISP_SERVIZI_ONLINE,PRENOTAZIONE_ONLINE,ACQUISTI_ONLINE,CONSULTAZIONE_ARCHIVI_ONLINE,NOTE_SERVIZI_ONLINE,WGS84_X,WGS84_Y,LOCATION
2391,2426,MN,MANTOVA,MUSEO DELLA CITTA',Palazzo di San Sebastiano,"Largo XXIV Maggio, 12",,46100,0376 367087,0376 223618,stefano.benetti@comune.mantova.gov.it,http://www.museicivici.mn.it,,,Museo,Composito,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,Il museo è stato inaugurato il 19 marzo 2005.,Lunedì 13.00-18.30 con ora solare; 13.00-19.30 con ora legale. Da martedì a domenica 9.00-18.30 con ora solare; 9.00-19.30 con ora legale. La biglietteria chiude un'ora prima dell'orario di chiusura dei musei. Chiuso il 25 dicembre.,,,SI,SI,SI,SI,SI,SI,NO,NO,,NO,NO,NO,NO,Il museo dispone di uno specifico laboratorio didattico dotato di postazioni multimediali.,SI,SI,SI,SI,ACCESSO TOTALE,A PAGAMENTO,,12,8,8,4,,SI,SI,SI,"Esiste un biglietto unico per la visita dei due Musei Civici di Palazzo Te e di Palazzo San Sebastiano e, da giugno 2016, per la Chiesa di San Sebastiano  Il biglietto viene venduto presso le due sedi museali e ha validità 90 giorni dall'emissione.
L'ingresso ai Musei è gratuito per i bambini sino agli 11 anni.
Sono previste gratuità e agevolazioni per determinate categorie contemplate nel Regolamento comunale dedicato.
Esistono il Biglietto Famiglia al costo di € 25 e la carta cumulativa Mantova Sabbioneta Card al costo di € 20",2019,57752,,,,,,(2019:57752)|(2018:54969)|(2017:65008)|(2016:63949)|(2015:42838),SI,SI,SI,SI,SI,SI,NO,"Il Museo ha attivato servizi per ipovedenti e non vedenti quali mappe visuo tattili, riproduziuoni, rilievi, postazioni multimediali con software dedicati",SI,SI,NO,SI,,10.787219,45.1505594,"(45.1505594, 10.787219)"
2204,2380,PV,PAVIA,SISTEMA MUSEALE DI ATENEO,Orto botanico,"Via San Epifanio, 14",,27100,0382 984841,0382 34240,orto.botanico@unipv.it,http://www-3.unipv.it/orto1773/,,,Museo,Composito,UNIVERSITA' STATALI - NON STATALI,SI,,,,"L'Orto è aperto al pubblico dal lunedì al giovedì dalle 9 alle 12,30 e dalle 14,30 alle 17; il venerdì dalle 9 alle 12
Nel periodo estivo apre il terzo sabato del mese dalle 9 alle 12. Apre inoltre in occasione delle svariate manifestazioni che organizza, soprattutto la domenica, in collaborazione con l'Associazione Amici dell'Orto Botanico",sabato e domenica ad esclusione del periodo estivo (3°sabato dle mese) e di particolari manifestazioni che vengono organizzate di domenica dalla primavera all'autunno,,SI,SI,NO,NO,SI,NO,NO,NO,,NO,NO,SI,SI,Il laboratorio è riferito all'erbario e alle serre.E' stato recentemente attrezzato un centro didattico divulgativo della Riserva Naturale Bosco Siro Negri (di proprietà dell'Università. E' stato attrezzato anche il Laboratorio Centro Flora Autoctona in collaborazione con la Regione Lombardia,SI,SI,SI,SI,ACCESSO TOTALE,A PAGAMENTO,,6,4,,,,NO,NO,NO,"Dal 23 aprile 2016 l'accesso ai musei universitari è a pagamento. Il biglietto d'ingresso, di € 6 (ridotto € 4) ha validità un mese e dà diritto all'accesso a tutti i musei.
L'ingresso è gratuito per gli studenti fino a 26 anni, gli over 65 e i portatori di disabilità. Le scuole accedono gratuitamente e pagano solo la visita guidata € 3 per alunno",2019,29463,,,,,"Dati stimati. Attualmente solo il Museo Kosmos è dotato di biglietteria automatizzata che fornisce reportistica dettagliata. A partire da marzo 2020 è previsto che tutti i Musei acquisiscano un sistema di biglietteria automatizzato, consentendo l'inserimento di dati parziali.",(2019:29463)|(2018:15268)|(2017:10594)|(2016:22194)|(2015:16677),NO,SI,SI,NO,SI,NO,NO,,SI,NO,NO,SI,"E' stato realizzato un sito internet (musei.unipv.eu) dedicato a tutte le collezioni conservate presso l'Università di Pavia, nel quale è possibile reperire informazioni su ubicazione, storia e consistenza delle collezioni, accedere, ove presenti, ai cataloghi informatizzati e compiere, in alcuni casi, visite virtuali.",9.1628306,45.1853245,"(45.1853245, 9.1628306)"
2421,2453,CO,TREMEZZINA,MUSEO VILLA DEL BALBIANELLO,Villa del Balbianello,Via Comoedia n. 5,,22016,0344 56110,0344 55575,faibalbianello@fondoambiente.it,http://www.fondoambiente.it,,,Museo,Casa-Museo,FONDAZIONE (ESCLUSA FONDAZIONE BANCARIA),SI,,,La visita agli interni della Villa si svolge con una guida in gruppi di massimo 15 persone e si effettua fino ad esaurimento posti.,"Aperto tutti i giorni tranne i lunedì e i mercoledì non festivi fino al 19 novembre 2017, ore 10 - 18

Ultimo ingresso al Giardino alle ore 17.15.
Ultimo ingresso alla Villa alle 16.30 secondo disponibilità.",Lunedì e mercoledì non festivi,Villa del Balbianello riapre al pubblico sabato 17 marzo 2018,SI,SI,SI,NO,NO,SI,NO,NO,Il Bookshop è di prossima realizzazione.,NO,NO,NO,NO,,SI,SI,NO,NO,ACCESSO PARZIALE,A PAGAMENTO,Giornate FAI di Primavera (solo parco),20,14,,8,9,NO,SI,NO,"SOLO GIARDINO
Iscritti FAI: ingresso gratuito
Adulti: € 10
Bambini (4-14 anni): € 5
Soci National Trust: € 7

GIARDINO E VILLA
Visita con guida obbligatoria non prenotabile, in gruppi di max 15 persone, della durata di circa 60 minuti in italiano/inglese (i gruppi vengono formati in loco)
Adulti: € 20
Bambini (4-14 anni): € 10
Soci National Trust e Studenti (fino a 25 anni): € 14
Iscritti FAI: € 4

I visitatori disabili accedono gratuitamente ai Beni del FAI aperti al pubblico presentando la tessera ANMIC - Associazione Nazionale Mutilati e Invalidi Civili.",2019,139534,130002,,887,8645,"I Visitatori singoli comprendono: gli adulti, gli under 18, i gratuiti, gli aderenti FAI, le convenzioni e le prevendite",(2019:139534)|(2018:124138)|(2017:117802)|(2016:110655)|(2015:91161),NO,SI,SI,SI,SI,NO,NO,Biblioteca del Museo Villa del Balbianello e Archivio delle Spedizioni di Guido Monzino (documenti e fotografie) consultabili in loco su appuntamento. Archivio schedografico e fototeca conservati in sede FAI e consultabili su appuntamento.,NO,NO,NO,NO,,9.1965511,45.9701441,"(45.9701441, 9.1965511)"
2586,2778,MI,MILANO,MUSEI ARCHEOLOGICI,Civico Museo Archeologico,"Via Bernardino Luini, 2",,20123,0288465720,0288465721,C.museoarcheologico@comune.milano.it,http://www.comune.milano.it/museoarcheologico,,,Museo,Archeologia,ENTE PUBBLICO,SI,,,,Tutti i giorni dalle 9:00 alle 17:30. Chiuso il lunedì.,lunedì,,NO,SI,SI,NO,SI,SI,NO,NO,,NO,NO,NO,NO,,SI,SI,NO,NO,ACCESSO TOTALE,A PAGAMENTO,1°-3° martedì del mese dalle ore 14.00; prima domenica del mese,5,3,,0,,SI,SI,SI,"Esiste la possibilità di acquistare un biglietto cumulativo per alcuni musei civici nelle varie sedi.

Studenti fino ad anni 18 ingresso gratuito. Ridotto per ultrasessantacinquenni e convenzionati (es. TCI)

Ingresso gratuito per le persone disabili più l'accompagnatore",2019,46074,,,,,,(2019:46074)|(2018:49918)|(2017:113181)|(2016:150823)|(2015:51834),NO,SI,SI,SI,SI,SI,NO,"A parte il servizio educativo, gli altri servizi sono destinati unicamente agli studiosi.",SI,NO,SI,NO,Sito web museo con informazioni per il pubblico e e-mail e telefono della Direzione e della Didattica del Museo. Esiste anche la pagina facebook istituzionale del museo.,9.179094,45.4651458,"(45.4651458, 9.179094)"
1982,2062,BG,TREVIGLIO,MUSEO CIVICO ERNESTO  E TERESA DELLA TORRE,Museo Civico Ernesto e Teresa Della Torre,"Vicolo Bicetti Buttinoni, 11",,24047,0363 317506,0363 317503,trevigliomusei@comune.treviglio.bg.it,http://www.comune.treviglio.bg.it,,,Raccolta Museale,Composito,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"martedì e sabato dalle 14.30 alle 18.00
terza domenica del mese 15.00-18.00
Su appuntamento",,,SI,SI,SI,SI,SI,SI,NO,SI,,NO,NO,NO,NO,,SI,SI,SI,SI,ACCESSO TOTALE,GRATUITO,,,,,,,NO,NO,NO,"La gratuità si riferisce a tre delle sedi del Museo Civico. Nella sede denominata Museo Storico Verticale è previsto un biglietto d'ingresso di €5.00 intero, €4.00 under 18, gratuito per i under 6 e €7.00 adulto + ragazzo.",2019,19718,5348,3169,13691,679,dati reali tranne over 60 e under 18 che sono stimati,(2019:19718)|(2018:14864)|(2017:14743)|(2016:5836)|(2015:5000),NO,SI,SI,SI,SI,NO,NO,,NO,NO,NO,NO,,9.5896785,45.5214345,"(45.5214345, 9.5896785)"
226,402,MI,MILANO,MUSEO BAGATTI  VALSECCHI,Museo Bagatti Valsecchi,"Via S. Spirito, 10 - Via Gesù, 5",,20121,02 76006132 - 02 76014857,02 76014859,info@museobagattivalsecchi.org,http://www.museobagattivalsecchi.org,,,Museo,Casa-Museo,ENTE DI DIRITTO PRIVATO,SI,,,Dal 2015 il Museo rimane aperto anche nel mese di agosto.,Dal martedì alla domenica dalle ore 13 alle ore 17.45. Chiuso il lunedì.,Lunedì,"Al mattino il Museo è visitabile dalle scuole su prenotazione.
Dal 2015 il Museo è aperto anche nel mese di agosto.",SI,NO,SI,SI,NO,SI,NO,NO,,NO,NO,NO,NO,,SI,SI,SI,NO,ACCESSO TOTALE,A PAGAMENTO,,9,6,,2,2,SI,SI,SI,"E' previsto il biglietto ridotto a 2 euro per i ragazzi di età compresa tra i 6 e i 18 anni. Il biglietto è gratuito per i bambini fino ai 6 anni.
I biglietti del Museo sono acquistabili anche online.
Il Museo Bagatti Valsecchi appartiene alla rete delle case museo di Milano. Il biglietto congiunto è acquistabile anche a Villa Necchi Campiglio e al Museo Poldi Pezzoli.",2019,24553,,,80,84,,(2019:24553)|(2018:23691)|(2017:21073)|(2016:20291)|(2015:22200),NO,SI,SI,SI,SI,NO,SI,"AUDIOGUIDE
Per gli adulti in italiano, inglese, francese, tedesco, giapponese, cinese e russo.
Per i bambini in italiano.


SCHEDE PORTATILI in ogni ambiente del Museo.
Per gli adulti in italiano, inglese, francese, tedesco, spagnolo, giapponese e russo;
Per i bambini in italiano in due versioni (per i bimbi di scuola elementare e per i bimbi di scuola media)

APP per pubblico generico in italiano e inglese
APP per persone non udenti, in due versioni (LIS - lingua dei segni italiana e in segni internazionali)",SI,SI,SI,NO,,9.1920381,45.4720482,"(45.4720482, 9.1920381)"
2161,2202,MB,MONZA,MUSEO E TESORO DEL DUOMO DI MONZA,Museo e Tesoro del Duomo di Monza,"Via Canonica, 4",,20900,039 326383,039 2300349,info@museoduomomonza.it,http://www.museoduomomonza.it,,,Museo,Composito,ENTE ECCLESIASTICO,SI,,,disponibilità di fuori orario,"DA MARTEDì A DOMENICA: 9.00-18.00 (ORARIO CONTINUATO)
LUNEDI': CHIUSO, apertura straordinaria su prenotazione",lunedì,,SI,SI,SI,NO,SI,SI,NO,NO,,SI,SI,NO,NO,,SI,SI,NO,NO,ACCESSO PARZIALE,A PAGAMENTO,,14,12,12,5,10,NO,NO,NO,"tariffe Museo + Teodolinda+Corona Ferrea
Intero               14,00
ridotto              12,00
gruppi              12,00
scuole               5,00
famiglia           10,00",2019,,,,,,,(2019:0)|(2018:)|(2017:49787)|(2016:53000)|(2015:60000),NO,SI,SI,SI,SI,SI,NO,,NO,NO,NO,NO,,9.276531,45.584101,"(45.584101, 9.276531)"
2246,2299,VA,BUSTO ARSIZIO,CIVICO MUSEO STORICO ARTISTICO,Civiche Raccolte d'Arte di Palazzo Marliani Cicogna,"Piazza Vittorio Emanuele II, 2",,21052,0331 635505,,,http://www.comune.bustoarsizio.va.it,,"Nella sede non esiste collegamento fax ed internet  che invece sono attivi rispettivamente presso l'Ufficio musei dislocato presso altra sede
E-mail museibusto@comune.bustoarsizio.va.it; tel 0331390352;0331390351
sito web www.comune.bustoarsizio.va.it",Museo,Arte,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"da marted' a giovedì  14.30-18.00; venerdì 9.30-13.00; 14.30-18.00, sabato 14.30-18.30, domenica 15.00-18.30 
Chiuso il lunedì e nel perido estivo ( per 4 settimane circa, tra i mesi di luglio e agosto).",lunedì,"Chiusura tra fine luglio e fine agosto, per circa 4 settimane
Chiuso anche nei giorni 1 gennaio, S, Pasqua, 24, 25 e 26 dicembre

Al mattino il museo è sempre aperto, su appuntamento/richiesta, per gruppi, scolaresche,  visite guidate e laboratori didattici ( tranne il lunedì)",SI,SI,NO,SI,SI,SI,NO,NO,"Nel Museo esistono n. 2 aree Reception, che assumono le funzioni di prima accoglienza, registrazione presenze, book-shop.
presso la recepition del primo piano, esiste uno spazio utilizzabile come guardaroba.",NO,NO,NO,NO,,SI,SI,SI,NO,ACCESSO PARZIALE,GRATUITO,,,,,,,NO,SI,NO,"Dal 2010, il pubblico interessato viene costantemente informato delle iniziative del Museo tramite un servizio di newsletter, e tramite una sezione dedicata , denominata In primo piano presente sul sito.",2019,9500,7865,3100,1150,485,dati stimati riguardo ai visitatori singoli,(2019:9500)|(2018:9470)|(2017:8600)|(2016:8000)|(2015:6450),NO,SI,SI,NO,SI,SI,NO,,SI,SI,NO,NO,,8.8512091,45.6133429,"(45.6133429, 8.8512091)"
2279,2324,VA,SAMARATE,MUSEO AGUSTA,MUSEO AGUSTA,"Via G.  Agusta, 510",Cascina Costa,21013,0331 220545/0331 229348,0331 220545/0331 229124,gianluigi.marasi@agustawestland.com,http://www.museoagusta.it,,,Raccolta Museale,Specializzato,ENTE DI DIRITTO PRIVATO,SI,,,,"Sabato e Domenica: 9.30/12.30   14.00/18.00
Martedì e Mercoledì: 14.00/18.00",,,SI,SI,SI,NO,SI,SI,NO,NO,,NO,SI,NO,NO,,SI,SI,SI,NO,ACCESSO PARZIALE,A PAGAMENTO,,2.5,1.5,1.5,1.5,0,NO,SI,NO,Altro si riferisce a dipendenti Agusta e soci del Gruppo Lavoratori Seniores,2019,3732,2782,650,280,670,"I dati totale visitatori sono puntuali, gli altri stimati con buona approssimazione.",(2019:3732)|(2018:3527)|(2017:4165)|(2016:3200)|(2015:3800),NO,NO,SI,SI,SI,SI,NO,,SI,SI,NO,NO,,8.7479558,45.6315765,"(45.6315765, 8.7479558)"
23,61,BG,BERGAMO,MUSEO STORICO DI BERGAMO,Convento di S. Francesco (ex) - complesso,Piazza Mercato del Fieno 6,,24129,035 247116,035 219128,segreteria@bergamoestoria.it,http://www.bergamoestoria.it,http://www.bergamoestoria.org,"Sede di esposizioni temporanee, della sezione permanente di storia della fotografia del Museo storico di Bergamo. Qui si trovano anche i depositi per il patrimonio del Museo storico.",Museo,Storia,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"da Ottobre a Maggio: da martedì a domenica dalle 9.30 alle 13.00 e dalle 14.30 alle 18.00; 
da Giugno a Settembre: da martedì a venerdì dalle 10.00 alle 13.00 e dalle 14.30 alle 18.00;
                                   sabato e festivi dalle 10.00 alle 19.00.
Chiuso il Lunedì non festivo, Natale e Capodanno.",lunedì non festivo,,SI,SI,SI,NO,SI,SI,NO,NO,,SI,NO,NO,NO,E' in corso la creazione dei nuovi ambienti di deposito dedicati all'archivio fotografico all'interno dei quali è previsto il laboratorio fotografico,SI,SI,SI,NO,ACCESSO PARZIALE,A PAGAMENTO,,3,2,2,,,SI,SI,NO,"L'ingresso sino a 18 anni è gratuito. Gli studenti universitari pagano l'ingresso ridotto.
Il biglietto per ciascuno dei musei della rete del museo storico è 3€ (ridotto 2€) ad eccezione del Palazzo del Podestà il cui ingresso è 5€ (ridotto 3€)
I biglietti dei musei della fondazione sono inseriti nel circuito Abbonamento Musei Lombardia
La fidelizzazione del pubblico avviene anche l'emissione di tessere che prevedono l'ingresso gratuito o ridotto alle sedi ai Donatori e ai membri dell'Associazione Amici del Museo.",2019,152619,141154,,8127,3338,i dati over 60 non sono rilevabili,(2019:152619)|(2018:165197)|(2017:118949)|(2016:81914)|(2015:80451),NO,SI,SI,SI,SI,SI,SI,"Consulenza per tesine di maturità e tesi di laurea
Stage per studenti di istituti scolastici secondari di secondo grado e università",SI,NO,NO,SI,,9.6648941,45.7049465,"(45.7049465, 9.6648941)"
2588,2767,MI,MILANO,CIVICHE RACCOLTE GRAFICHE E FOTOGRAFICHE,Civico Gabinetto dei Disegni,Castello Sforzesco,,20121,02 88463735,02 88463816,C.gabinettoDisegni@comune.milano.it,http://gabinettodeidisegni.milanocastello.it/,,Il patrimonio del Civico Gabinetto dei Disegni proviene dalle acquisizioni che hanno formato il Museo Artistico Municipale (delibera Consiglio Comunale del 12.06.1877). Nel 1945 i disegni furono dislocati temporaneamente in deposito presso la Raccolta Stampe A. Bertarelli (vedi Delibera Consiglio comunale 09.01.1967 n. 7206 Ristrutturazione Tabella Organica n. 29 sez. prima Istituzioni culturali ed artistiche - raccolte artistiche); la creazione della sede propria del Civico Gabinetto dei Disegni è stata approvata con delibera della Giunta Comunale 13.06.1972 n. 2540.,Raccolta Museale,Arte,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"Apertura tutti i giorni da lunedì a venerdì: 9.30-12.30 - 14.00-17.00
Chiusura sabato, domenica e festività.
Si accede previo appuntamento.",,,SI,SI,NO,NO,NO,SI,SI,NO,"Book-shop-servizio in concessione, in condivisione con tutti i musei del Castello Sforzesco. La Caffetteria/ristorinate si trova all'interno del Castello Sforzesco",NO,SI,NO,NO,Il Gabinetto dei Disegni condivide il laboratorio di restauro dell'Archivio Storico Civico-Biblioteca Trivulziana.,SI,NO,SI,NO,ACCESSO TOTALE,GRATUITO,,,,,,,,,,,2019,8413,,,,,,(2019:8413)|(2018:15485)|(2017:9355)|(2016:80691)|(2015:53582),SI,SI,SI,SI,SI,SI,NO,I servizi educativi affidati in concessione sono in condivisione con tutti gli altri Istituti del Castello Sforzesco.,SI,NO,NO,SI,Le banche dati SIRBEC vengono periodicamente aggiornate e fatte confluire sui motori di ricerca on-line degli 3 Istituti Grafiche in Comune e Fotografie in Comune. Le biblioteche della Raccolta Bertarelli e del CAFMI partecipano al Servizio Bibliotecario Nazionale (SBN) nel quale fanno confluire i dati bibliografici.,9.180642,45.4685221,"(45.4685221, 9.180642)"
2480,2590,BG,LEFFE,MUSEO DEL TESSILE Martinelli Ginetto,Museo del Tessile Martinelli Ginetto,"Via Locatelli, 29",,24026,035 733981,03519967994,info@museodeltessile.it,http://www.museodeltessile.it,,,Raccolta Museale,Specializzato,ENTE DI DIRITTO PRIVATO,SI,,,"Il Museo in via Locatelli, 29  Leffe (BG) è aperto al pubblico.
Il deposito non è aperto al pubblico.
La sede dell'Associazione, con l'annesso deposito, non è aperta al pubblico.","Sabato e domenica Dalle ore 14,00 alle ore 19,00",Lunedì  martedì  mercoledì  giovedì  venerdì.,,SI,SI,NO,NO,SI,NO,NO,NO,,NO,SI,SI,SI,,SI,SI,SI,SI,ACCESSO TOTALE,GRATUITO,Sabato e domenica pomeriggio,,,,,,NO,NO,NO,"il pomeriggio di sabato e domenica ingresso gratuito e visite guidate gratuite.
Per le visite infrasettimanali di gruppi e scolaresche si chiede un contributo da quantificare in base al numero di visitatori e all'attivita svolta.",2019,3350,1950,2500,950,540,Il numero dei visitatori under 18 e over 60 è stimato.,(2019:3350)|(2018:3034)|(2017:2310)|(2016:2200)|(2015:1900),NO,SI,SI,SI,SI,NO,NO,,SI,SI,NO,NO,La sede espositiva è accessibile anche al pubblico con disabilità motorie.,9.88898004,45.79942828,"(45.79942828, 9.88898004)"
2081,2899,BG,BERGAMO,MUSEO DIOCESANO ADRIANO BERNAREGGI,Museo e Tesoro della Cattedrale,PIAZZA DUOMO,,24129,035219893,035215517,info@fondazionebernareggi.it,http://www.fondazionebernareggi.it,,,Museo,Arte,ENTE ECCLESIASTICO,SI,,,,da martedì a domenica 9.30-13.00 e 14.00 - 18.30,lunedì,,NO,SI,SI,SI,NO,SI,NO,NO,,NO,NO,NO,NO,,SI,SI,NO,NO,ACCESSO TOTALE,A PAGAMENTO,,5,3,3,3,2,SI,SI,NO,"Il prezzo di 2 euro si applica ai gruppi parrocchiali.
Il Museo possiede una biglietteria per ciascuna sede, quella in via Pignolo e quella in Piazza Duomo.
Pertecipa inoltre al progetto Bergamo Card",2019,12392,2499,1500,7130,2763,i numeri comprendono sia la sede di Via Pugnolo che la sede di Piazza Duomo,(2019:12392)|(2018:16263)|(2017:17016)|(2016:19135)|(2015:24386),NO,SI,SI,SI,SI,NO,NO,,NO,NO,NO,NO,,9.66235621,45.70352597,"(45.70352597, 9.66235621)"
2228,2290,MI,MILANO,MUSEO DEL DUOMO,Palazzo Reale,Piazza Duomo 14,,20122,02 36169351,02 72022419,museo@duomomilano.it,http://www.duomomilano.it,,,Museo,Arte,ENTE ECCLESIASTICO,SI,,,,Tutti i giorni 10.00-18.00. Mercoledì chiuso  (Ultimo biglietto: ore 17.00. Ultimo ingresso: ore 17.10).,Mercoledì,,,,SI,SI,SI,SI,NO,NO,Attualmente il Museo è chiuso per riallestimento.,NO,NO,NO,NO,,SI,SI,SI,NO,ACCESSO TOTALE,A PAGAMENTO,,3,,,,,NO,SI,SI,"Il  Museo del Duomo è inserito all'interno di un sistema unico di titoli di accesso che comprende il Duomo di Milano e  la Chiesa di San Gottardo in Corte al quale può essere aggiunto l'ingresso agli scavi archeologici e alle terrazze con un unico ticket cumulativo
Sono previsti inoltre biglietti cumulativi validi 72 ore, DUOMO PASS (A e B), per la visita di tutte le realtà che fanno parte del Sistema Duomo, perciò cattedrale+museo+terrazze+area archeologica. che prevedono riduzioni sul prezzo intero di 16 (A) e 12 (B) €, per bambini 6-12 anni di € 8 (A) e  € 6 (B); gruppi religiosi; scuole e gratuità per bambini fino a 6 anni; insegnanti accompagnatori di gruppi scolastici; portatori di handicap e accompagnatore; guida turistica o accompagnatore turistico con gruppo al seguito; militari in divisa; convenzionati (ICOM, AMEI,....), studenti universitari...
punto di vendita esterno al museo presso le biglietterie dell'INFO POINT Duomo - Sala delle Colonne  e on-line
il museo del duomo è inserito nell'abbonamento regionale MUSEI DI LOMBARDIA",2019,284269,272622,,5552,6095,,(2019:284269)|(2018:341609)|(2017:352558)|(2016:302499)|(2015:286393),NO,SI,SI,SI,NO,SI,SI,"archivio storico, biblioteca e fototeca sono presso la sede della Veneranda Fabbrica del Duomo (via C.M. Martni 1, 20122 Milano). I servizi educativi si svolgono anche in Cattedrale.",SI,SI,NO,SI,,9.19135621,45.46355507,"(45.46355507, 9.19135621)"
481,622,BS,CHIARI,PINACOTECA REPOSSI,Pinacoteca Repossi,"Via Bernardino Varisco, 9",,25032,030 7000730,030 7000730,fondmorcellirepossi@libero.it,http://www.morcellirepossi.it,,"Il museo si trova anche in facebook: 
https://www.facebook.com/Morcellirepossi;

ha spazio anche nel sito Web del Comune di Chiari, della Provincia di Brescia e della Regione Lombardia, alle rispettive pagine della Cultura.

La Fondazione, per legato testamentario ha ereditato nel 2012 una villa in stile neo barocco da allestire come Casa-museo Giordano Scalvi, sezione staccata della Pinacoteca Repossi. 
Il CdA sta espletando tutte le operazioni burocratiche necessarie per il completamento del possesso; nel contempo è stato affidato l'incarico ad uno Studio di architettura di Chiari per la stesura di un progetto di fattibilità.",Museo,Arte,ENTE DI DIRITTO PRIVATO,SI,,,"il museo è aperto al pubblico nei seguenti giorni ed orari:
lunedì, mercoledì, giovedì e venerdì: ore 9.00-13.00
martedì e sabato: ore 9-13; 14-18.
In altri giorni e in altri orari: su appuntamento 
Per scolaresche e gruppi e/o visite guidate: è opportuno prenotare.
Per laboratori didattici: su appuntamento","Lunedì, mercoledì, giovedì e venerdì: 9-13
Martedì e sabato: 9-13: 14-18.

Per gruppi e scolaresche; per visite guidate e per laboratori didattici: su appuntamento.",Domenica (aperta solo per eventi o su richiesta),,SI,SI,NO,NO,SI,SI,NO,SI,,NO,SI,SI,NO,"Vi sono anche spazi destinati ai laboratori didattici.
Vi è un foyer, prima dell'auditorium.
L'auditorium ha capienza per 100persone.",SI,SI,SI,SI,ACCESSO TOTALE,GRATUITO,,,,,,,NO,SI,NO,"Il museo promuove forme di fidelizzazione del pubblico organizzando corsi,conferenze, giornate di studio, mostre, visite guidate specifiche e/o con sconti per visite guidate e per opere edite dalla Fondazione per i soci del FAI, dell'Associazione Pensionati di Chiari, del TCI e dei possessori di BRESCIACARD.",2019,5657,965,457,3882,810,,(2019:5657)|(2018:4400)|(2017:6190)|(2016:11000)|(2015:9500),SI,SI,SI,SI,SI,SI,NO,"La Fototeca è in corso di riordino.
 Per tutte le opere del museo, dipinti, sculture, oggetti d'arte, esiste la riproduzione fotografica digitale; analogamente per tutte le  stampe.",SI,SI,NO,SI,"Nel sito web sono reperibili: Statuto della Fondazione; 
carta dei servizi; mostre in corso; serate a tema; progetti e programmi con scadenza mensile e annuale; regolamento della pinacoteca; regolamento per l'accesso all'auditorium. Tutte le stampe con relativa fotografia. 
Si tengono aggiornate in particolare le attività didattiche e le news riguardo a progetti e donazioni..
On line, in Lombardia Beni culturali, sono consultabili tutte le schede SIRBeC riguardanti il patrimonio artistico della Pinacoteca Repossi, fino all'anno 2009.
Nel 2016/17 è stata inserita in SIRBeC anche la nuova acquisizione di 61 icone antiche.
In SBN sono consultabili tutte le opere del Fondo Morcelli.",9.9281683,45.5353016,"(45.5353016, 9.9281683)"
